construction,set,nrmse_mean,nrmse_sem,rmse_mean,rmse_sem,r2_mean,mae_mean
AB (noaux),F,0.4945,0.0208,0.4947,0.0208,0.6787,0.3687
AB (noaux),S,0.5879,0.0217,0.5881,0.0217,0.5648,0.4375
AB (noaux),Z,0.6589,0.0166,0.6585,0.0167,0.4954,0.522
ESN,F,0.4824,0.0213,0.4826,0.0213,0.6834,0.3592
ESN,S,0.5219,0.0248,0.5221,0.0249,0.6205,0.3704
ESN,Z,0.6314,0.0165,0.631,0.0165,0.5203,0.5004
Dual kernel,F,0.4843,0.0219,0.4845,0.0219,0.6852,0.361
Dual kernel,S,0.5412,0.0214,0.5413,0.0214,0.6015,0.3933
Dual kernel,Z,0.6361,0.0166,0.6358,0.0167,0.5166,0.504
Single kernel,F,0.4837,0.0218,0.4839,0.0218,0.6858,0.3605
Single kernel,S,0.5392,0.0215,0.5394,0.0215,0.603,0.391
Single kernel,Z,0.6353,0.0167,0.635,0.0168,0.5171,0.5034
Triangular,F,0.4833,0.0219,0.4835,0.0219,0.6856,0.3606
Triangular,S,0.5416,0.0216,0.5418,0.0216,0.5998,0.3948
Triangular,Z,0.6353,0.0165,0.635,0.0165,0.5168,0.5035
Uniform,F,0.4891,0.0219,0.4893,0.0219,0.6796,0.3657
Uniform,S,0.5492,0.0212,0.5493,0.0212,0.5934,0.4046
Uniform,Z,0.6402,0.0159,0.6398,0.016,0.5118,0.5072
