shots,set,horizon,median,p90,principal_signs_preserved,stratum_pass
100,F,1,2.320082509441844,3.947008252201334,True,False
100,F,2,1.2356403022673037,2.123568183361215,True,False
100,F,4,0.4501674337545155,0.8673433867799754,True,False
100,F,8,0.12717895513050664,0.2863730535807404,True,False
100,F,16,0.04294232523362315,0.1019573869815445,True,False
100,F,32,0.0226961508382297,0.08687099311954961,True,True
100,F,64,0.02237505804569625,0.09796078716717427,True,True
100,F,128,0.00848481922344425,0.04422608139752314,True,True
100,S,1,2.008026206686574,4.450816574856069,True,False
100,S,2,0.9086166826085983,1.8510072556216737,True,False
100,S,4,0.23817375110671618,0.4738416236499425,True,False
100,S,8,0.0426603181758902,0.15789671245290562,True,False
100,S,16,0.00559816144216415,0.08583919266936313,True,True
100,S,32,0.00293812548827185,0.042334950245963406,True,True
100,S,64,0.00060772800678565,0.01303196793501034,True,True
100,S,128,0.0013049553340835,0.01001593846073733,True,True
100,Z,1,1.2901815535000276,1.733733165359794,True,False
100,Z,2,0.4872894879674795,0.6921782003298554,True,False
100,Z,4,0.0941415916430221,0.17473178591079588,True,False
100,Z,8,0.027530162312397598,0.0803712917847229,True,True
100,Z,16,0.01838611069077175,0.06460404461773343,True,True
100,Z,32,0.0126002353186565,0.050002627675200986,True,True
100,Z,64,0.008619576667362999,0.043963713651807464,True,True
100,Z,128,0.01333919245604535,0.05152657445980311,True,True
300,F,1,1.636012010574666,3.0428897957383088,True,False
300,F,2,0.8761739781457794,1.627280518994637,True,False
300,F,4,0.31985541693271063,0.6685927531840633,True,False
300,F,8,0.1027650762859464,0.23426089766660735,True,False
300,F,16,0.0370957518153967,0.09162177548942277,True,True
300,F,32,0.02053883760819525,0.07610662375112906,True,True
300,F,64,0.01916199203114575,0.07519666002034038,True,True
300,F,128,0.0050127157396975,0.027987634313163017,True,True
300,S,1,1.3829222207560354,3.2479251495059014,True,False
300,S,2,0.670388927924368,1.433973881823796,True,False
300,S,4,0.20234919648899946,0.40781189565041964,True,False
300,S,8,0.039027457645704,0.14656051046734891,True,False
300,S,16,0.00256548837853315,0.0760692367228462,True,True
300,S,32,0.00233252144597495,0.030661119117015762,True,True
300,S,64,0.0003884244346715,0.00960515639579466,True,True
300,S,128,0.00086325606834775,0.008261932714704611,True,True
300,Z,1,0.8683612648724711,1.2061345955039613,True,False
300,Z,2,0.35903072833661487,0.5139990758104361,True,False
300,Z,4,0.07726783637562565,0.14112632807608722,True,False
300,Z,8,0.0213176834437552,0.06260112663251301,True,True
300,Z,16,0.0116692576201829,0.050069281569681295,True,True
300,Z,32,0.00842984376855915,0.037188517381075065,True,True
300,Z,64,0.00489121490081665,0.03363315934718697,True,True
300,Z,128,0.00904656407725475,0.039106458090551424,True,True
1000,F,1,1.1327763678630283,2.2652770348574025,True,False
1000,F,2,0.5953532453986446,1.196401755417023,True,False
1000,F,4,0.21508635829783196,0.48610633612202775,True,False
1000,F,8,0.07812449393989976,0.1783165159102718,True,False
1000,F,16,0.0306354834209097,0.08085969846368789,True,True
1000,F,32,0.018693493499383353,0.0670575593996509,True,True
1000,F,64,0.0167465903765133,0.058148170666141925,True,True
1000,F,128,0.00246183977871175,0.021130872239541205,True,True
1000,S,1,0.9002405739325916,2.3362041449888737,True,False
1000,S,2,0.4681124218261266,1.0809253949088367,True,False
1000,S,4,0.1721816050122092,0.36825352171591447,True,False
1000,S,8,0.0377463076682715,0.1394094807486176,True,False
1000,S,16,0.00107049638614075,0.06621553665597424,True,True
1000,S,32,0.0022518177267507,0.021609041123316405,True,True
1000,S,64,4.680351859342971e-05,0.007227472585320841,True,True
1000,S,128,0.0007263357812079,0.007730260527647252,True,True
1000,Z,1,0.5270351545261218,0.7807241081654148,True,False
1000,Z,2,0.24457701662424242,0.3679953177177043,True,False
1000,Z,4,0.060230016053208296,0.10983521901400961,True,False
1000,Z,8,0.01475294697702935,0.04591226398208524,True,True
1000,Z,16,0.006661605608784,0.03358321715491643,True,True
1000,Z,32,0.005809601881255649,0.024143855382271626,True,True
1000,Z,64,0.0034707448397685,0.022831087811080786,True,True
1000,Z,128,0.00494927482042065,0.030397520417864567,True,True
3000,F,1,0.8402646617130815,1.8027328999791135,True,False
3000,F,2,0.445402458027088,0.918365295441795,True,False
3000,F,4,0.15411532154049665,0.35661739468339543,True,False
3000,F,8,0.059261759707953096,0.13589815900225888,True,False
3000,F,16,0.024920202321754903,0.07104668999291482,True,True
3000,F,32,0.01629689973331445,0.06050058643161376,True,True
3000,F,64,0.01370773822283535,0.04602404872975947,True,True
3000,F,128,0.00105799704368725,0.015561827376503846,True,True
3000,S,1,0.6339271018888032,1.6649068720637294,True,False
3000,S,2,0.3371393533198084,0.8093309641093115,True,False
3000,S,4,0.13615174196937718,0.3279685907667425,True,False
3000,S,8,0.03386368235680995,0.1332703343925953,True,False
3000,S,16,0.000376393938,0.05869182879535344,True,True
3000,S,32,0.00126096559294635,0.012789034550635984,True,True
3000,S,64,7.240477891652888e-06,0.005331016608777393,True,True
3000,S,128,0.00037689593568465,0.007090395099701946,True,True
3000,Z,1,0.32115109215905246,0.5179290429135693,True,False
3000,Z,2,0.164965769888471,0.27222489009589823,True,False
3000,Z,4,0.0464909222378352,0.08688607867584747,True,True
3000,Z,8,0.010701908618060349,0.03309292606304554,True,True
3000,Z,16,0.00372613335821845,0.023398175770293923,True,True
3000,Z,32,0.0030664657878908003,0.017035365668361894,True,True
3000,Z,64,0.0019669045228071997,0.015168673387539392,True,True
3000,Z,128,0.0021999962717632,0.020697899804446928,True,True
10000,F,1,0.6362231407206409,1.3929446327781931,True,False
10000,F,2,0.31113306588801676,0.6905205073633014,True,False
10000,F,4,0.10615274803129465,0.257287441968583,True,False
10000,F,8,0.0424492283706414,0.10144773172013045,True,False
10000,F,16,0.0214784521976474,0.059333978566861095,True,True
10000,F,32,0.012895616679248,0.0532485404636311,True,True
10000,F,64,0.010604558363421751,0.03752194716773078,True,True
10000,F,128,0.00031127788095525,0.007890426676427212,True,True
10000,S,1,0.4185357684991594,1.163767229639276,True,False
10000,S,2,0.23744321804478746,0.607497962425669,True,False
10000,S,4,0.1005294128177727,0.27048972614401995,True,False
10000,S,8,0.03053527774498345,0.1212998025625877,True,False
10000,S,16,0.0001801436567881,0.05555615367078276,True,True
10000,S,32,0.00037495950995565,0.004865998724877941,True,True
10000,S,64,8.980271299664309e-06,0.0037281360658198643,True,True
10000,S,128,0.00016472261257425002,0.00563942223472295,True,True
10000,Z,1,0.17978501727376467,0.3130586497341246,True,False
10000,Z,2,0.0991484755385541,0.1812805113206585,True,False
10000,Z,4,0.0315329132027571,0.06687749580098658,True,True
10000,Z,8,0.007442656018963,0.02496085166035106,True,True
10000,Z,16,0.00204662921811405,0.017685376701300472,True,True
10000,Z,32,0.00113568816352545,0.011916107213993176,True,True
10000,Z,64,0.0006141266384775,0.011416073756410246,True,True
10000,Z,128,0.0007989042254808001,0.016629608124908747,True,True
