construction,set,useful_horizon,useful_horizon_ms,criterion
AB_noaux,Z,16.0,92.16058982777488,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
AR,Z,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
ESN,Z,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
ESN_66,Z,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
NVAR2,Z,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
QRC_K0,Z,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
dual_kernel,Z,16.0,92.16058982777488,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
persistence,Z,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
single_kernel,Z,16.0,92.16058982777488,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
tapped_delay,Z,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
triangular,Z,16.0,92.16058982777488,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
uniform,Z,16.0,92.16058982777488,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
AB_noaux,F,8.0,46.08029491388744,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
AR,F,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
ESN,F,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
ESN_66,F,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
NVAR2,F,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
QRC_K0,F,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
dual_kernel,F,8.0,46.08029491388744,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
persistence,F,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
single_kernel,F,8.0,46.08029491388744,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
tapped_delay,F,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
triangular,F,8.0,46.08029491388744,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
uniform,F,8.0,46.08029491388744,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
AB_noaux,S,32.0,184.32117965554977,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
AR,S,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
ESN,S,32.0,184.32117965554977,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
ESN_66,S,32.0,184.32117965554977,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
NVAR2,S,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
QRC_K0,S,4.0,23.04014745694372,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
dual_kernel,S,32.0,184.32117965554977,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
persistence,S,,,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
single_kernel,S,32.0,184.32117965554977,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
tapped_delay,S,32.0,184.32117965554977,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
triangular,S,32.0,184.32117965554977,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
uniform,S,32.0,184.32117965554977,mean NRMSE < 1; bootstrap lower CI for persistence-model and AR-model > 0
