comparison,comparator,set,h_short,h_long,n_segments,kernel_degradation,comparator_degradation,interaction_comp_minus_kernel,ci95_lo,ci95_hi,p_wilcoxon,p_holm,expected_direction,significant_expected
single_kernel vs QRC_K0,QRC_K0,Z,2,64,20,0.5785041128393191,0.6103788181340339,0.0318747052947147,0.0157027642633044,0.0516623728980807,9.5367431640625e-06,0.0001144409179687,True,True
single_kernel vs AR,AR,Z,2,64,20,0.5785041128393191,0.6635679846421547,0.0850638718028355,0.0461606796204837,0.133147071752155,0.0003223419189453,0.0009670257568359,True,True
single_kernel vs NVAR2,NVAR2,Z,2,64,20,0.5785041128393191,0.6664955261995227,0.0879914133602034,0.0499667014609999,0.1360655044322808,3.62396240234375e-05,0.0002899169921875,True,True
single_kernel vs persistence,persistence,Z,2,64,20,0.5785041128393191,0.7558216720196083,0.177317559180289,0.1450760215902292,0.2113470641672768,1.9073486328125e-06,2.86102294921875e-05,True,True
single_kernel vs tapped_delay,tapped_delay,Z,2,64,20,0.5785041128393191,0.665087256161206,0.0865831433218868,0.0357150992339536,0.1511739540677465,8.20159912109375e-05,0.0005741119384765,True,True
single_kernel vs QRC_K0,QRC_K0,F,2,64,20,0.675473097150306,0.71227838775174,0.0368052906014339,0.019668072170851,0.056494717433043,8.20159912109375e-05,0.0005741119384765,True,True
single_kernel vs AR,AR,F,2,64,20,0.675473097150306,0.8321506774700069,0.1566775803197006,0.084845320714958,0.2387732783815241,1.9073486328125e-05,0.0002098083496093,True,True
single_kernel vs NVAR2,NVAR2,F,2,64,20,0.675473097150306,0.8220047395083057,0.1465316423579996,0.0800974442909155,0.2236907064855735,5.7220458984375e-06,7.43865966796875e-05,True,True
single_kernel vs persistence,persistence,F,2,64,20,0.675473097150306,1.0272803232465193,0.3518072260962132,0.2880857742121421,0.426474722217412,1.9073486328125e-06,2.86102294921875e-05,True,True
single_kernel vs tapped_delay,tapped_delay,F,2,64,20,0.675473097150306,0.8483016012962186,0.1728285041459124,0.0917233206700193,0.2661106224072206,1.9073486328125e-05,0.0002098083496093,True,True
single_kernel vs QRC_K0,QRC_K0,S,2,64,20,0.6500202651735748,0.6468784544698565,-0.0031418107037182,-0.0091714335220872,0.002986724291199,0.2454872131347656,0.2454872131347656,False,False
single_kernel vs AR,AR,S,2,64,20,0.6500202651735748,0.6706075379984273,0.0205872728248527,0.0131057865983674,0.0290945630048998,2.6702880859375e-05,0.0002403259277343,True,True
single_kernel vs NVAR2,NVAR2,S,2,64,20,0.6500202651735748,0.6718664381957485,0.0218461730221739,0.0131415618465899,0.0310368505362921,0.0001678466796875,0.00067138671875,True,True
single_kernel vs persistence,persistence,S,2,64,20,0.6500202651735748,0.7245930105627586,0.074572745389184,0.0236772206395068,0.1289681641906206,0.0295753479003906,0.0591506958007812,True,False
single_kernel vs tapped_delay,tapped_delay,S,2,64,20,0.6500202651735748,0.6697363170438283,0.0197160518702537,0.0117033711194738,0.029101721317804,0.0001049041748046,0.0005741119384765,True,True
